address,amount
0x1f61f064d5f6a7b33425dfe0d1cea0744299b343,281.2121135
0x3f0a2fbec33317b4c8e1c35796cff71ae8adfff7,272.3282637
0x412e04b02f3dde6abe8cce046396585805590ae3,258.8468745
0x9e6671a80c244b92bde02c7ac8d01509b9c4a52d,247.3704707
0x63bbf05fd5f3628a0c759f06a7747867c9319f12,241.8762394
0xbdc17d9de7f65b2f4aff46faa0618c7fb97343c6,241.6228136
0x937c0d0e87273e74bd2af66eb8703c1f7563ffd1,241.2894817
0x7d6e60c8131e3f1310e932dd5ebd604bdda54cc3,239.3712804
0x9755a498db7f0d03b7248da5451d8eefa8ccc96f,232.9378932
0xd909174ca293d91d9146d4c1a2eb69845c6a98f8,229.1855804
0xf14df64df075c5ca2be1e6acac8fb8900bbe7c22,211.3839212
0x861effd5eb39b4ea9c81bdc0c79eedcc39ac83a8,210.8479592
0xe7fbf64f07e5b95316cfb3c8537df7a1e2872de8,203.399474
0x7d8b1d816cbc6d72deb06713400323257c2801bf,194.8988807
0x119fc84a9835059278700f22a87eac9e40cea314,192.697532
0x3be9352ff284c59becd0845e76115baed49439f9,191.2778061
0x4a68ce0fef8e5190831f8386b5be4448e76af8e5,189.7019735
0xc63dfd64c0df393a16bc411b22b69776b60a012f,187.5797637
0x625b9a7111bec5a193ef481227f3130a75ee745c,184.135492
0x0518438fcc626b0a037790863f55de5085505add,183.2016672
0xed4ae4408e49ccdbcb3faada068897b01b27056f,181.1201826
0xb8be4d98c471b1a0c05d00a3cb9d6d48ee09eba8,176.1202399
0x30efe0026fd20d6dd9e5bbe67d52248b711b2044,175.2796274
0x55acd1603b52296167b115fe58e7a54f3fac7fbf,173.6431361
0x718ca4ee41d4ae352245e4f177c88535faa91256,173.1441147
0x833480caa02f3d4c7426bd97dec60761f07d4697,172.9284023
0xc12e2f13fb638f10e5580b0c32b09e6f4794368a,171.7324712
0xcf0c607f1724bd1b46f27572ee725b5c5a0706ed,170.433828
0x897819bb18aacaf8a551058d41b7a1396f8f3f45,166.8368972
0x58f2693f1e9f8ceeb9f723cc0a1bd5236eac19de,161.9690341
0xc099a7085209d0391dd5926d7dd4a4bc8f004138,154.4544258
0xe563e4c37dfcac7668e26a3f2746e04da99f672b,153.1934588
