address,amount
0x0a1d4e774beefbe600502d9daa21c6afa52b987a,150.9697892
0x6d5eddecc7528c5c06b500d5188c13da1885c151,150.8959618
0x27be4acb4e615b3f5e9b171eba3d88efb24a76a8,147.900437
0xb07ffa5bda695e6214a4e7d95b32a942b1d16c65,142.9887613
0xf89e388d02635f2a9b8ab567618940829bd9af07,137.567175
0xcdeb72c91dbd676aa3536180b33b2927fd4e660d,127.5470942
0x7e5c0859737885a6786aaa33b7af1875e3319c23,127.2048253
0x6a87704f2a34f7e8231e2d5b08842b1ffda4b6cd,126.5788367
0x0ac51e75c52c73f0dec48dd67a52ca7b113d9a9e,126.1896436
0xbf49d4ffb8eeb1f30a27c8c032bd6c53a29f84a4,122.6327868
0xb039194a3273a1feea5839755be20f840e9f0535,121.7960564
0x8e35f095545c56b07c942a4f3b055ef1ec4cb148,117.7642531
0xc7fb2f77a36ef1ed2b1bf34c999e349c0e6b4d42,117.0566204
0x8fae2df5b0c5bbb7fc31dddec9bf045c55642bd0,116.3288456
0x0e58a768fb5cb74d535c738b8289d6c832dc4ace,111.0378786
0x8db046b731823ba123f5194dce689084bf835531,107.9420778
0x2e614cfb16cea25bed9f07fcefcce7dfc73cd39f,107.6703089
0x99fa2779998adaabd59740da3d1ad38a8606bc2b,103.1938271
0x87882b8498e4d045c67d707dab1de70b076b653f,102.1065425
0xa13e9683706b633f64286088658285b8514d9b2f,99.5829559
0xa3260fab428b449a010dab5c6254b4530de6a25f,98.15861818
0xda8b8a2d12327bffa7ee3fdc2607367974e3fd39,97.86860531
0xf934a87349051c492216eecc6bc716eee45fe029,97.69777683
0x2018309b3fefd683126e7d7c517a549fcab99c73,96.97261518
0x8e959eca79830fe361cce834ed5f8dad7812c6a9,94.83496447
0x1ba3b507dd19449cd81378c57b3b94d9240a8eb6,93.94646024
0x37e9c754db39049f243fec4711def58605165690,93.77816287
0xca5720267fcb7cca13007afa096ae01b0864f765,91.47861175
0xbee3003a3f80a42e97b867d4a8e9c080f65947a4,91.13430052
0x2fb1448998dbde5dabd9c27ffc8d302442cdb497,89.34653369
0x73aa1dad4e656284a3c12482361c9dd103937360,88.54075323
0xd81aa18c2353b30041f9859b4924502a1dbb9cad,87.00748989
0x3358cbf307053264b14f60540d476c1f6cb28fe5,86.34745164
0x7694d6e9ed96649442e75d5560f7e9b5ad791e00,85.68812445
0xe87c99d4595ef0ba887263108947b03186bf4362,82.23151001
0x728c5dd19d8d5368e52c07851df1cb26fca8d8d8,81.67498627
0x0f14e34723997e1e1e2b7e3760178c98b22651ab,80.58648466
0x34f564537f611c334dd8769784a3a65404d48308,79.22449297
0x3b1908198e4aa3bd6b90d312f2265575e48fc651,77.02799185
0x5834ba6f4bed6ee6c1ee368bdc25a2b82c16ae9e,77.00874052
